Record ,longitude,latitude,Elev,Trend,Elev,Elev (KPB),Elev difference,Cluster #,Time bin
2508.0,-106.4094691,47.36296065,731.0,18.0,731.0,691.0334345,39.9665655,0,3
2518.0,-106.4026129,47.36411557,732.0,52.0,732.0,690.1604297,41.8395703,0,3
2512.0,-106.4106596,47.36092136,733.0,82.0,733.0,690.6496604,42.3503396,0,3
2515.0,-106.4070163,47.3623609,733.0,75.0,733.0,690.4259945,42.5740055,0,3
2488.0,-106.419447,47.36661683,737.0,65.0,737.0,693.8693609,43.1306391,0,3
2485.0,-106.4215171,47.36676215,739.0,68.0,739.0,694.2775844,44.7224156,0,3
271.0,-107.2060801,47.391526,891.0,68.0,891.0,841.0756411,49.9243589,0,3
281.0,-107.183725,47.39793835,869.0,133.0,869.0,838.9370954,30.0629046,0,3
695.0,-107.0253088,47.39299201,852.0,127.0,852.0,809.2068515,42.7931485,0,3
701.0,-107.0139005,47.39928513,854.0,83.0,854.0,808.9992933,45.0007067,0,3
766.0,-107.0137806,47.38779602,851.0,125.0,851.0,805.6384118,45.3615882,0,3
749.0,-106.9826601,47.40980931,853.0,79.0,853.0,806.4871533,46.5128467,0,3
770.0,-106.998334,47.3966421,852.0,19.0,852.0,805.4544088,46.5455912,0,3
722.0,-107.002104,47.40345122,855.0,63.0,855.0,808.104881,46.895119,0,3
719.0,-107.0038272,47.40310615,856.0,83.0,856.0,808.3129434,47.6870566,0,3
1613.0,-106.7426128,47.39898925,805.0,137.0,805.0,760.6211731,44.3788269,0,3
1684.0,-106.7231683,47.39891433,806.0,63.0,806.0,757.1432815,48.8567185,0,3
2505.0,-106.3379665,47.40694683,721.0,33.0,721.0,691.2693014,29.7306986,0,3
2549.0,-106.3350852,47.38996458,719.0,79.0,719.0,685.7905078,33.2094922,0,3
2492.0,-106.3395712,47.41273201,727.0,77.0,727.0,693.2461002,33.7538998,0,3
2552.0,-106.3339168,47.3898702,720.0,122.0,720.0,685.5550065,34.4449935,0,3
2509.0,-106.3428107,47.4030209,726.0,35.0,726.0,690.9756589,35.0243411,0,3
2521.0,-106.345574,47.3975535,725.0,32.0,725.0,689.8610886,35.1389114,0,3
2502.0,-106.3334642,47.41131849,727.0,26.0,727.0,691.7564956,35.2435044,0,3
2556.0,-106.3314998,47.38965535,722.0,18.0,722.0,685.0655285,36.9344715,0,3
2563.0,-106.3312076,47.38752613,722.0,119.0,722.0,684.3902215,37.6097785,0,3
2543.0,-106.3391003,47.38944982,724.0,86.0,724.0,686.348035,37.651965,0,3
2553.0,-106.3323106,47.39080671,724.0,8.0,724.0,685.546334,38.453666,0,3
2584.0,-106.3322422,47.37547431,729.0,41.0,729.0,681.0430201,47.9569799,0,3
96.0,-107.2551256,47.45394889,917.0,117.0,917.0,867.940197,49.059803,0,3
93.0,-107.2563173,47.4548253,918.0,120.0,918.0,868.4074557,49.5925443,0,3
224.0,-107.1985543,47.4217982,876.0,77.0,876.0,848.5054533,27.4945467,0,3
202.0,-107.2088539,47.42775521,882.0,15.0,882.0,852.0742341,29.9257659,0,3
915.0,-106.8855653,47.43701272,835.0,118.0,835.0,797.1066016,37.8933984,0,3
1024.0,-106.8805208,47.41901762,830.0,119.0,830.0,790.9743054,39.0256946,0,3
980.0,-106.895531,47.41907629,833.0,38.0,833.0,793.6635643,39.3364357,0,3
1040.0,-106.8815051,47.41613094,834.0,114.0,834.0,790.3096469,43.6903531,0,3
1018.0,-106.8752674,47.42340499,837.0,88.0,837.0,791.3178746,45.6821254,0,3
910.0,-106.8961617,47.4314658,844.0,38.0,844.0,797.3790812,46.6209188,0,3
925.0,-106.8556379,47.45415731,844.0,54.0,844.0,796.7751397,47.2248603,0,3
986.0,-106.8873786,47.42281924,843.0,99.0,843.0,793.3010557,49.6989443,0,3
821.0,-106.8976318,47.44690086,852.0,130.0,852.0,802.1338059,49.8661941,0,3
2056.0,-106.489605,47.44937528,774.0,140.0,774.0,730.481194,43.518806,0,3
2018.0,-106.4982551,47.45594829,781.0,141.0,781.0,733.930122,47.069878,0,3
2124.0,-106.4580739,47.44988865,773.0,137.0,773.0,725.0555191,47.9444809,0,3
2136.0,-106.456686,47.44862854,773.0,136.0,773.0,724.4414213,48.5585787,0,3
2383.0,-106.3963748,47.42078246,739.0,141.0,739.0,705.6365744,33.3634256,0,3
2363.0,-106.3841494,47.43843244,751.0,18.0,751.0,708.6410065,42.3589935,0,3
2279.0,-106.4224247,47.4379099,765.0,97.0,765.0,715.2511121,49.7488879,0,3
2458.0,-106.3172641,47.4415511,725.0,21.0,725.0,697.7476928,27.2523072,0,3
2465.0,-106.3328185,47.42827881,725.0,32.0,725.0,696.6073941,28.3926059,0,3
2448.0,-106.3097713,47.45174199,730.0,45.0,730.0,699.4131121,30.5868879,0,3
2450.0,-106.3172784,47.44531221,730.0,18.0,730.0,698.853101,31.146899,0,3
2446.0,-106.3078412,47.45361767,731.0,62.0,731.0,699.6216384,31.3783616,0,3
2449.0,-106.3046261,47.45396924,731.0,48.0,731.0,699.1542414,31.8457586,0,3
2440.0,-106.3123316,47.45173971,732.0,45.0,732.0,699.8611453,32.1388547,0,3
2441.0,-106.3045091,47.45621113,732.0,46.0,732.0,699.7905748,32.2094252,0,3
2473.0,-106.3391947,47.42141078,730.0,17.0,730.0,695.7216365,34.2783635,0,3
2474.0,-106.3398524,47.42068323,731.0,26.0,731.0,695.6258556,35.3741444,0,3
