Record #,longitude,latitude,Elev,Trend,Elev (KPB),Elev difference
435,-106.8195031,47.57680813,794,112,826.0698751,-32.0698751
5,-107.283886,47.58849276,880,107,912.0571878,-32.0571878
64,-107.0939209,47.56717594,840,13,872.0183123,-32.0183123
207,-107.1965595,47.53497552,849,112,880.9683065,-31.9683065
150,-107.105321,47.62201919,858,119,889.9657097,-31.9657097
296,-106.952862,47.53624545,806,116,837.9401708,-31.9401708
31,-107.1100296,47.57067793,844,166,875.9033455,-31.9033455
1976,-106.2874737,47.59298638,705,62,736.8578233,-31.8578233
14,-107.2630879,47.58675455,876,108,907.8429619,-31.8429619
302,-106.7908328,47.63096977,805,163,836.7657474,-31.7657474
15,-107.2627639,47.58664396,876,129,907.7535345,-31.7535345
1149,-106.3936008,47.69282937,753,135,784.7499388,-31.7499388
1781,-106.2260598,47.67377709,718,44,749.7470617,-31.7470617
224,-107.1007063,47.58590344,847,58,878.6637378,-31.6637378
179,-107.0375604,47.54179914,823,120,854.6188268,-31.6188268
1707,-106.360248,47.6130308,724,13,755.5283316,-31.5283316
133,-107.051282,47.5603701,831,59,862.4548987,-31.4548987
101,-107.0641789,47.56955094,836,50,867.415198,-31.415198
430,-106.5094247,47.76566867,795,122,826.412519,-31.412519
245,-106.9915391,47.53826161,814,137,845.4042365,-31.4042365
3,-107.2848805,47.59544675,883,67,914.2487572,-31.2487572
1388,-106.3639451,47.67124883,742,23,773.2192201,-31.2192201
757,-106.5553984,47.66883972,775,128,806.2190851,-31.2190851
1713,-106.3587637,47.61223857,724,103,755.0353117,-31.0353117
6,-107.276796,47.59277307,881,52,912.0326079,-31.0326079
1631,-106.2374391,47.7020342,729,159,760.0263978,-31.0263978
102,-107.0614524,47.56986995,836,40,867.0240476,-31.0240476
103,-107.0623316,47.56923325,836,51,866.9937513,-30.9937513
9,-107.233056,47.61240405,879,62,909.9205394,-30.9205394
1963,-106.1975885,47.65040435,707,163.3,737.9006682,-30.9006682
